mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
0,0/1,0,482,1,Islamic State,ORG,mentioned in agt text,ARM_512,Islamic State of Iraq and Levant,Armed Organization,ISIS,Iraq,IRQ
1,0/1,0,482,1,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
2,0/2,0,482,2,Hazrat Sahib,ORG,mentioned in agt text,0,,,,,
3,0/2,0,482,2,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
4,0/2,0,482,2,Kabul,GPE,mentioned in agt text,0,,,,,
5,0/3,0,482,3,State,ORG,mentioned in agt text,0,,,,,
6,0/4,0,482,4,Islamic Council,ORG,mentioned in agt text,0,,,,,
7,0/4,0,482,4,Transitional State,ORG,mentioned in agt text,0,,,,,
8,0/4,0,482,4,Hazrat Sahib,ORG,mentioned in agt text,0,,,,,
9,0/5,0,482,5,Council,ORG,mentioned in agt text,0,,,,,
10,0/7,0,482,7,Transitional Islamic State,ORG,mentioned in agt text,0,,,,,
11,0/7,0,482,7,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
12,0/7,0,482,7,Leadership Council,ORG,mentioned in agt text,0,,,,,
13,0/12,0,482,12,Cabinet,ORG,mentioned in agt text,0,,,,,
14,0/12,0,482,12,Tanzeemat,ORG,mentioned in agt text,0,,,,,
15,0/14,0,482,14,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
16,0/16,0,482,16,Ministry Interior,ORG,mentioned in agt text,0,,,,,
17,0/16,0,482,16,Ittehad - e - Islami,ORG,mentioned in agt text,POL_446,Ittehad-e-Islami,Political Party,,Afghanistan,AFG
18,0/16,0,482,16,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
19,0/18,0,482,18,Ministry Education,ORG,mentioned in agt text,0,,,,,
20,0/20,0,482,20,Ministry Foreign Affairs,ORG,mentioned in agt text,0,,,,,
21,0/20,0,482,20,National Islamic,ORG,mentioned in agt text,POL_448,National Islamic Front of Afghanistan,Political Party,,Afghanistan,AFG
22,0/22,0,482,22,Ministry Defence,ORG,mentioned in agt text,0,,,,,
23,0/22,0,482,22,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
