signatory_id,sentence_id,entity type,entity,AgtId,text,signatory_type,actor_id_type,actor_name,actor_type,actor,abbreviation,country_based,iso3c,correct?,notes
0,0,GPE,Qatar,2232,Qatar  German Government   United Nations  USA  Countries in the region ,third party,CON_486,Qatar,Country/State,Qatar,QAT,Qatar,QAT,1,
1,0,ORG,United Nations  USA  Countries,2232,Qatar  German Government   United Nations  USA  Countries in the region ,third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,1,
2,3,ORG,H.E. Jan Kubis,1923,"The foregoing signatures were witnessed by:  H.E. Jan Kubis, Special Representative of the Secretary General of the United Nations  H.E. James B. Cunningham, Ambassador of the United States of America",third party,0,,,,,,,0,
3,3,ORG,United Nations  H.E.,1923,"The foregoing signatures were witnessed by:  H.E. Jan Kubis, Special Representative of the Secretary General of the United Nations  H.E. James B. Cunningham, Ambassador of the United States of America",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,1,
4,3,GPE,United States America,1923,"The foregoing signatures were witnessed by:  H.E. Jan Kubis, Special Representative of the Secretary General of the United Nations  H.E. James B. Cunningham, Ambassador of the United States of America",third party,CON_3,United States,Country/State,United States,USA,United States of America,USA,1,
5,4,ORG,United Nations,864,"Ambassador Kazuo Kodama, Chargé d’affaires ad interim Permanent Mission of Japan to the United Nations  ",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,1,Japan missed?
6,6,GPE,Australia,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_277,Australia,Country/State,Australia,AUL,Australia,AUS,1,
7,6,GPE,Canada,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_11,Canada,Country/State,Canada,CAN,Canada,CAN,1,
8,6,GPE,Arab Republic Egypt,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_82,Egypt,Country/State,Egypt,EGY,Egypt,EGY,1,
9,6,GPE,Republic France,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_7,France,Country/State,France,FRN,France,FRA,1,
10,6,GPE,Federal Republic Germany,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,1,
