Sentence number,Sentence text
0,"The International Afghanistan Conference in Bonn 

5 December 2011 

Afghanistan and the International Community: From Transition to the Transformation Decade 

CONFERENCE CONCLUSIONS 

1."
1,"We, the Islamic Republic of Afghanistan and the International Community, met today in Bonn to mark the 10th anniversary of the 2001 Bonn Conference, which laid the foundation of the ongoing partnership between Afghanistan and the International Community, and to renew our mutual commitment to a stable, democratic and prosperous future for the Afghan people."
2,"We honour all those, from Afghanistan and abroad, who have lost their lives for this noble cause."
3,"Afghanistan expressed its sincere gratitude for the steadfast commitment, solidarity and the immense sacrifices of its international partners."
4,"

2."
5,Afghanistan and the International Community expressed deep appreciation to the Federal Republic of Germany for hosting this Conference.
6,"Germany is a longstanding friend of Afghanistan and, in particular over the past ten years, alongside other members of the International Community, has been a steadfast partner in Afghanistan’s stabilization and development."
7,"

3."
8,"Ten years ago today at the Petersberg, Afghanistan charted a new path towards a sovereign, peaceful, prosperous and democratic future, and the International Community accepted the responsibility to help Afghanistan along that path."
9,"Together we have achieved substantial progress over these ten years, more than in any other period in Afghanistan’s history."
10,"Never before have the Afghan people, and especially Afghan women, enjoyed comparable access to services, including education and health, or seen greater development of infrastructure across the country."
11,"Al Qaida has been disrupted, and Afghanistan’s national security institutions are increasingly able to assume responsibility for a secure and independent Afghanistan."
12,"

4."
13,"However, our work is not yet done."
14,"Shortcomings must be addressed, achievements must be upheld."
15,"Our shared goal remains an Afghanistan that is a peaceful and promising home for all Afghans, at the centre of a secure and thriving region;"
16,an Afghanistan in which international terrorism does not again find sanctuary and that can assume its rightful place among sovereign nations.
17,"

5."
18,"In today’s conference, chaired by Afghanistan, hosted by Germany and attended by 85 countries and 15 International Organisations, the International Community and Afghanistan solemnly dedicated themselves to deepening and broadening their historic partnership from Transition to the Transformation Decade of 2015‐2024."
19,"Reaffirming our commitments as set out in the 2010 London Communiqué and the Kabul Process, this renewed partnership between Afghanistan and the International Community entails firm mutual commitments in the areas of governance, security, the peace process, economic and social development, and regional cooperation."
20,"

GOVERNANCE 

6."
21,Afghanistan reaffirms that the future of its political system will continue to reflect its pluralistic society and remain firmly founded on the Afghan Constitution.
22,"The Afghan people will continue to build a stable, democratic society, based on the rule of law, where the human rights and fundamental freedoms of its citizens, including the equality of men and women, are guaranteed under the Constitution."
23,Afghanistan recommits to upholding all of its international human rights obligations.
24,"Acknowledging that on this path Afghanistan will have its own lessons to learn, the International Community fully endorses this vision and commits to supporting Afghanistan’s progress in that direction."
25,"

7."
26,"We have taken note of statements by Afghan civil society organisations, including today’s statements by two of their delegates at this meeting."
27,"We all reaffirm that the human rights and fundamental freedoms enshrined in the Afghan Constitution, including the rights of women and children, as well as a thriving and free civil society are key for Afghanistan’s future."
28,"Therefore, we underscore the further promotion of civil society participation, including both traditional civil society structures and modern manifestations of civic action, including the role of youth, in the country’s democratic processes."
29,"

8."
30,"We recognise that building a democratic society above all entails enabling legitimate and effective civilian authority embodied in a democratically elected government and served by transparent and strong, functioning institutions."
31,"Despite significant achievements, Afghanistan needs to continue its work to strengthen state institutions and improve governance throughout the country, including through reforming the civil service and strengthening the linkage between justice reform and development of its security institutions, including an effective civilian police force."
32,Strengthening and improving Afghanistan’s electoral process will be a key step forward in the country’s democratization.
33,Afghan government institutions at all levels should increase their responsiveness to the civil and economic needs of the Afghan people and deliver key services to them.
34,"In this context, the protection of civilians, strengthening the rule of law and the fight against corruption in all its forms remain key priorities."
35,"We will move this agenda forward, in accordance with our commitments under the Kabul Process in line with the principle of mutual accountability."
36,"

9."
37,"Consistent with Transition, we reaffirm that the role of international actors will evolve further from direct service delivery to support and capacity‐building for Afghan institutions, enabling the Government of Afghanistan to exercise its sovereign authority in all its functions."
38,"This process includes the phasing out of all Provincial Reconstruction Teams, as well as the dissolution of any structures duplicating the functions and authority of the Government of Afghanistan at the national and sub‐national levels."
39,"

10."
40,We support the crucial role of the United Nations in Afghanistan.
